x,y,title,User,Category,Description,Installations,Score,image
0.8547877,10.816724,Animal Sounds,Children,Learning play,"Educational game for learning animal sounds. Very fun, ad-free, and perfect for any age from one to five. It's a game that your child will love, and most importantly, will teach them in a fun way.

Playing is so easy! With just a single tap, your c...","5,000,000",4.15,https://play-lh.googleusercontent.com/d70BKxTORyg5KMwatzX9rzYqapy-BeStUfEKY5niXR9u4AM_q2Poc6pUlHhlNCBlBGQ
2.6116023,11.471243,Preschool Academy for Kids,Children,Learning play,"Let's teach your preschooler kid numbers, counting, letters, colors, shapes, animals, logic and more.

"" Preschool Adventures-2 "" contains 36 puzzles in 4 fun, colorful, and educational sections, specifically designed to contribute to your child's ...","1,000,000",3.94,https://play-lh.googleusercontent.com/rAtn9ZaXLoGTdropQG3lYTqw5EXbJsHsQXfZjJBB0Jxvl_svwuZ6GN4ZlOpnxYTJ-mjY
1.6980026,12.048486,Educational Puzzles for kids,Children,Simple puzzles,"It's time to have fun and learn with this free educational puzzle game for kids!

Educational Puzzles is a game for toddlers to make them able to solve jigsaws. This puzzle game app collects various pastimes with different mechanics: the game to co...","10,000",n/a,https://play-lh.googleusercontent.com/1_D_K7TDE0bonZDwmR0qV7xPk41M7ybCnEXFFYtjrlIXq6kWi4qqRZ6I2occExxnwg
0.88239163,13.257183,Bini Drawing for kids games,Children,Drawing and colouring,"Painting games for kids 🎨 are great learning apps for children, where kids paint and color colorful drawings come to life in fun games for kids. Drawings turn into mini-cartoons🎨

🧩This is a real collection of more than 100 tasks in which the kid d...","10,000,000",4.04,https://play-lh.googleusercontent.com/Ctc6gxEuFdVzkAyrFtGRW429r6zVehCZFJfQVuIsPAMooiidAIOuzzIiE7DKva9XmgUW
5.2016087,9.242025,Kids YAY - Learn Chinese,Children,Literacy - non-English,"Kids YAY - Learn Chinese is the perfect Chinese learning app for kids and beginners. Our game-based learning course makes it easy for learners to build their Chinese language skills — characters, words, phrases, pronunciation, and handwriting.

Who...","50,000",3.93,https://play-lh.googleusercontent.com/o_2diNlhUBY7DAyDxQ4x3WKaAGV3zLxinzOqcxEDqR0cLsa03UFU16Y8nWfzaRDZ_l4
0.78925216,6.712052,Timo Kids Weekly Routine Timer,Parents,Tracking babies' rhythms,"* No more morning or evening chaos. No shouting!

With Timo's help, parents and children can create and maintain healthy habits, routines and activities that organize their child's daily schedule - morning, afternoon and evening.

* Children and ...","100,000",4.24,https://play-lh.googleusercontent.com/YVbiT03oZY1t-pbIrXx9WSsQGOKFSSLYxM9QMKhCT1VpzpSY3GaoGIqYGHHabC-SO9-j
1.7009094,11.134562,Insects & Bugs – Interactive Learning For Kids,Children,General play,"Are you looking for a fun quiz insect learning game to help your little one learn about animals? Will you like to spend quality learning time by solving preschool learning puzzle with your tot? 

If that is the case, this app brings new fun quiz an...","10,000",3.4,https://play-lh.googleusercontent.com/Mj1OBpdLxc0zMvS19c9LoSbd-Rfq_kbWi4lZWzOp1PU3wFwZF9lWtNx10yghei0jDDE
1.0253692,6.549658,BabyG: Activities for Babies,Parents,Parental support,"Babies are amazing 👼, so should be parenting 👪!

🤔 WHY EARLY DEVELOPMENT (SMART PARENTING) IS A MUST?
👉 1 yr: Baby’s brain double in size!
👉 2 yr: Baby’s brain has double the neural network!
👉 3 yr: 80% of the brain is developed, & the brain sta...","100,000",5.0,https://play-lh.googleusercontent.com/OFC7Z0J6YsmrN8nqRky1CuhXOmJ2FD5EvUkxr-qCsvyM5t5tj6zlKGwr_4MC8fj5TRA
6.049833,10.829788,Alphabet Tracing & Phonics : ABC for Kids,Children,Literacy - English / ABCs,"Are you Looking for a fun educational game to help your toddler to learn the phonics, tracing and writing of the upper case alphabet, lower case alphabet? The perfect game for kids to learn Alphabet Tracing & Phonics.✏️

Alphabet Tracing & Phonics ...","5,000",n/a,https://play-lh.googleusercontent.com/OgpZCPZXd5SwKVxNyPpCacwM6ZwmNLzueIwwV52SqfjuK42KvN3_YVkk-me3TH5qBX6i
0.33011594,11.464244,Hey Duggee: The Spooky Badge,Children,General play,"Hey Duggee: The Spooky Badge is the brand new official app for fans of the show and it’s FREE!

The Squirrels are helping Duggee hang up the laundry when they hear a spoooooky noise. No need to worry though as Duggee has his Spooky Badge!

Pick a...","500,000",3.87,https://play-lh.googleusercontent.com/fvTQfSYSH1IHey9gGZVUwRhwfk_Hh1P6jTvOOAx8ShxC5p2zQdcG5sp7KAbksYeeSjMS
