x,y,title,User,Category,Description,Installations,Score
5.758076,11.136852,ABC Preschool Kids Tracing,Children,Literacy - English / ABCs,"ABC Preschool Kids Tracing letters and Word Learning Games is an educational app to help your kids learn basic tracing of Alphabet ABCs, Letters, Words and Numbers 1 to 10 .

ABC Preschool Tracing Games for Kids includes free, fun, educational trac...","1,000,000",n/a
-0.14974685,6.345359,Fisher-Price® Smart Connect™,Parents,Helping babies to sleep,"The Fisher-Price® Smart Connect™ app lets you customize and control all the soothing features of any Smart Connect™ nursery gear, including swings,  bassinets, and soothers, right from your smart device—without disturbing your baby! Find the soothing...","100,000",4.29
-1.9821657,7.078866,White Noise,Parents,Helping babies to sleep,"Recommended as a miracle for better sleep! Find out why the world is sleeping better with White Noise. Features ambient sounds of the environment to help you relax during the day and sleep great at night.

Do you have trouble going to sleep? Are yo...","100,000",4.53
4.7581244,12.729176,123 Numbers Activity for Children | Kids Counting,Children,Numeracy development,"5 Number recognition activities bundled in one app for kindergarten kids

Among many first things we try to educate our children is the recognition of basic numbers. 
Kindergarten and early grade teachers adapt many techniques and practices that i...","10,000",n/a
0.46827495,7.222713,How to Talk With Your Baby,Parents,Parental support,"How to Talk with Your Baby Before Your Baby Can Talk!

The Importance of Baby Talk: Tips on How to Talk to Your Baby.

Babies communicate from birth through crying and eye contact, and then simple sounds and gestures.
Talking and responding to b...","10,000",n/a
1.0770644,13.077788,Unicorn Coloring Book Glitter,Children,Drawing and colouring,"Beautiful, cool and cute unicorn coloring book with glitter, 50+ beautiful unicorn coloring pages for unicorns lovers!🦄💖

Learn more about Unicorn Coloring Book Glitter:
⭐ Unicorn Coloring Book Glitter is the best unicorn game and unicorn coloring...","5,000,000",4.18
3.7554002,8.56638,iHuman Books,Children,Literacy - English / Reading and Stories,"iHuman Books — Learn to read, love to read

After 2 years of research and development, and drawing from 20 years of experience, the team at iHuman have developed an app that provides a fun, interactive, and engaging reading experience for children ...","10,000",n/a
2.1088839,12.814089,The Very Hungry Caterpillar - Play & Explore,Children,Learning play,"Does your little one love The Very Hungry Caterpillar? Check out Hungry Caterpillar Play School. It's packed full of fun, educational activities.  📚 Download it free at http://bit.ly/VHCF_HCPS


* Tech With Kids Best Pick App *

The beloved char...","50,000",4.29
-1.3842111,11.3272295,Pinkfong Dino World,Children,General play,"Discover all your favorite dinosaurs's videos and games at Pinkfong Dino World! 
From the mighty T-Rex to the great Brachiosaurus - learn about the different types of dinosaurs with fun & educative videos and games.

App Features:

1. Watch fun ...","5,000,000",3.76
-2.033169,7.004137,Baby Sleep,Parents,Helping babies to sleep,"In Baby Sleep's library, there are sleepy sounds that make it easier for the baby to fall asleep, such as nature sounds, transportation, home, white noise, lullabies for children.

Infants have spent 9 months in a very noisy uterus, so they are use...","10,000",n/a
-0.35267702,4.913225,Breastfeeding Tracker. Newborn,Parents,Tracking babies' rhythms,"This App is a handy and reliable assistant for breastfeeding your newborn baby. You can track breastfeeding, bottle feeding, solid food feeding and milk pumping. You can save diaper changing, sleeping periods and the results of your baby's height and...","1,000,000",4.57
1.2739655,5.3328967,Baby Tips: The Ultimate Parental Guide,Parents,Parental support,"An ultimate parental guide. Get useful tips a few times a week: about baby development, health, nutrition, sports, education, and baby psychology. Learn how to bring up a genius! No complicated medical terms and serious things — just useful practical...","10,000",3.0
-0.23221783,5.3364677,Nara Baby Tracker,Parents,Tracking babies' rhythms,"A scheduled baby is a happy baby. 

Babies crave routine; as a parent, you do everything you can to provide a comforting and predictable schedule for your little one. Nara Baby is here to support you along the way. That’s why we’ve created an app t...","10,000",4.93
2.2592595,11.874945,Educational Puzzles for Kids,Children,Learning play,"This game is for preschoolers and kids who want to learn basics of 11 languages. 

By Educational Fun Puzzles for Kids (Preschool) your child gets an extra portion of educational puzzles. There are +60 puzzles available in 6 different categories (A...","10,000,000",3.74
1.9139743,11.292195,Connect the Dots - Ocean,Children,Learning play,"The underwater world is diverse and beautiful. It hides many things that are waiting to be discovered! It would be quite interesting to be able to explore the waters of the world ocean and observe its inhabitants. Huge whales and small seahorses, too...","10,000",n/a
4.585222,9.239789,Capt'n Hippocampus' Spelling C,Children,Literacy - English / ABCs,"Oh no! Capt’n Hippocampus is going on account and he’ll give no quarter! Unfortunately, he’s missing a few thing: a ship and a crew, for instance! But there’s a solution: he can take his raft to the letter islands and recover the word treasure. This ...","50,000",n/a
5.652856,11.232809,ABC PreSchool Kids Tracing & Phonics Learning Game,Children,Literacy - English / ABCs,"ABC PreSchool Kids Tracing & Phonics Learning game (350+ Worksheets) is an educational app to help your toddler learn basic tracing starting from lines, phonics and trace the letters of the alphabet ABCs and numbers 1 to 10, shapes & colors. ABC Pres...","10,000,000",3.97
-0.15222871,4.6962547,Baby Care Tracker,Parents,Tracking babies' rhythms,"STOP OVERLOADING YOUR MIND AND LET PARENTING BE JUST FUN
Baby Care Tracker is very simple, intuitive and useful application for moms that need to track breast or bottle feeding, pumping, diaper changes and others easily. All such data may show you or...","500,000",4.71
0.70566314,11.22057,Feed Animals: Toddler games for 1 2 3 4 years olds,Children,General play,"A must-have for TODDLERS and PRESCHOOLERS! Learn and play with cute animated farm animals in 14 fun-packed EDUCATIONAL GAMES. Your children are sure to love this fun farm adventure.

================================ 
Build a doghouse, sort food, h...","1,000",n/a
3.3730977,8.534823,Bookful: Fun Books for Kids,Children,Literacy - English / Reading and Stories,"READING JUST GOT BETTER!

Turn screen time into productive reading time. With the power of Augmented Reality (AR) and 3D elements, Bookful creates an engaging experience and brings stories and characters to life. Parents and educators love how Book...","100,000",3.35
3.2467604,9.994531,Baby Games: Piano & Baby Phone,Children,Learning play,"Entertain your baby for hours with ""Baby Games - Piano, Baby Phone, First Words"", a fun, simple, colorful, and FREE educational phone game designed with kids and toddlers in mind!

Learning is fun with Baby Games, and there are plenty of mini-games...","10,000,000",4.57
0.96711606,9.141939,Sago Mini Babies Dress Up,Children,General play,"IT’S DRESS UP TIME! Get ready for hours of super cute dress up fun! Play with babies Jack, Jinja, Harvey and Robin in the most adorable dress up app for toddlers. Use your imagination to assemble outfits for each character. Try on dozens of funny cos...","1,000,000",4.16
0.9724878,13.594227,Finger Paint Coloring Book,Children,Drawing and colouring,"Finger Painting Coloring Pages is a beautiful digital coloring book for kids, pure finger painting fun without all the mess! Coloring is an excellent way to help kids develop fine motor skills, color recognition, eye-hand coordination and focusing. O...","500,000",4.0
3.0836277,9.434593,Lucky's Learn Emotions,Children,Learning play,"★ Welcome to Lucky's Learn Emotions game! ★

This and 17 more fun and educational games are included in ""Lucky's Tree of Puzzles"".
https://play.google.com/store/apps/details?id=com.napko.lilnuts

""Lucky is going to a friend's birthday party. Whe...","10,000",n/a
1.696499,1.3042381,Ovulation Calendar & Fertility,Parents,Fertility tracking,"Want to know when you are most fertile?

Get pregnant fast with the most reliable ovulation calculator & period calendar. It has been proven to increase your chance of pregnancy by 3 times, even if you have irregular menstrual cycles.

How does i...","1,000,000",4.79
